Family,Count,Sum,Mean,SD,Median,Max,Min
Unknown,592,27753169.6599168,46880.3541552648,329924.962819806,414.26569241,6582186.24046242,4.66485267
Halomonadaceae,20,15576051.4154129,778802.570770646,2342412.04840262,6119.86531651,9565537.267961,48.444788401
Shewanellaceae,11,6691708.04831167,608337.095301061,2010949.38515852,838.6244344,6671573.3416391,78.40722512
Comamonadaceae,125,4390450.50365917,35123.6040292733,267607.671201441,617.50453897,2958978.3124015,10.03682721
Pseudomonadaceae,100,2426906.12064865,24269.0612064865,92203.2239028225,941.494505735,555978.598565508,15.521246784
Moraxellaceae,103,1916638.02194159,18608.1361353553,82079.1493141471,1707.60423489,792975.489753477,13.815678676
Methylobacteriaceae,36,1813733.68284183,50381.4911900507,137954.027133068,2953.286739515,515331.951814571,35.80368592
Bradyrhizobiaceae,72,1168703.30123918,16231.9902949886,51577.2625204508,1145.514318205,320188.30141445,12.15867046
Streptococcaceae,140,1101516.46942253,7867.97478158951,31821.5404226447,919.643563293,266680.500773793,3.161075768
Promicromonosporaceae,3,1080121.16463954,360040.38821318,0,360040.38821318,360040.38821318,360040.38821318
Micrococcaceae,56,1061215.47248095,18950.2762943027,51227.7264131287,1098.65215454,271994.527983674,58.36229156
Enterobacteriaceae,109,992986.170964729,9109.96487123605,32422.8644163009,1223.251607,308185.310645423,27.2287332
Sphingomonadaceae,164,921030.326532439,5616.03857641731,22807.0655253634,587.00996581,213118.32398363,5.254984634
Xanthomonadaceae,56,811428.493418825,14489.7945253362,67260.6334349289,344.7045494,497209.986763066,33.59632628
Flavobacteriaceae,69,687954.765137693,9970.35891503903,35371.6048887545,863.7521924,227027.73956668,9.426102926
Propionibacteriaceae,40,679395.891672029,16984.8972918007,83346.3075588422,444.891452885,527435.268988074,11.359022072
Corynebacteriaceae,155,585918.127104647,3780.11694906224,19703.6056107127,582.04184665,170543.755516195,7.479557054
Rhodobacteraceae,99,449166.432660245,4537.03467333581,16158.3255553279,421.3901096,120454.274597869,7.820059684
Bacillaceae,60,447476.628205217,7457.94380342028,21652.2403756405,451.9732324,134511.004666396,20.48791264
Prevotellaceae,35,446592.058430216,12759.7730980062,35804.518023391,735.69896119,148864.019478195,3.06672469
Weeksellaceae,44,437044.899691891,9932.83862936116,34395.3029079714,935.151325518,221820.91343349,3.828483112
Staphylococcaceae,81,425530.465623291,5253.46253855914,17949.443725532,714.57004687,102882.702924413,1.4343825454
Chitinophagaceae,40,382190.06865724,9554.751716431,45628.2901511575,593.31681999,289729.321009116,8.711471852
Caulobacteraceae,57,368144.294450524,6458.67183246533,16752.612317393,925.307391,89663.347125353,20.46723656
Leptotrichiaceae,22,366205.950412752,16645.7250187615,37947.7967139047,757.829092115,122068.650137394,39.83501656
Lactobacillaceae,37,300502.27374742,8121.68307425459,23272.6837567145,629.392876546,100167.424581713,2.638282468
Tissierellaceae,61,250537.772469829,4107.17659786605,12735.2384465516,561.532653374,83512.5908218911,10.612168856
Burkholderiaceae,30,211217.988145746,7040.5996048582,12498.1651201002,492.354103901,50002.33069736,26.5262442
Geodermatophilaceae,23,199955.87466195,8693.73368095435,15577.2758832776,4565.157205608,66651.958219768,20.8026636
Oxalobacteraceae,100,185190.101520781,1851.90101520781,6411.63472292133,265.68744078,53769.839115386,18.527275762
Microbacteriaceae,49,184345.7642112,3762.1584532898,9913.72033543869,764.62467337,54704.387439634,61.75324734
Lachnospiraceae,107,171160.779284324,1599.63345125537,6232.08698003645,257.5834844,57053.5930967391,7.043075972
Nocardioidaceae,77,169276.166153732,2198.39176823028,7166.49115561378,509.7090116,56425.3887188063,16.266437368
Rhizobiaceae,50,164962.044925136,3299.24089850272,8478.12546082889,594.395271025,44827.688077072,18.6875122
Euzebyaceae,4,164370.892315973,41092.7230789933,27088.6536322776,54559.772187491,54790.297438191,461.0505028
Rhodospirillaceae,44,147172.575531207,3344.83126207289,8445.83526402755,434.47488498,49057.52517758,15.050796142
Veillonellaceae,27,134878.357799816,4995.49473332653,11487.0932344738,703.6431764,44047.788399111,73.54156904
Acetobacteraceae,29,125428.254596817,4325.11222747645,10461.8068730224,1056.9988054,41339.412057038,6.141851366
Ruminococcaceae,63,116327.094524644,1846.4618178515,5735.43465918809,445.75106603,38775.698177314,18.577917998
Alcaligenaceae,31,111653.737175628,3601.73345727832,8035.64926548684,298.1713808,37217.91239585,14.50508055
Intrasporangiaceae,15,110045.836300366,7336.38908669107,11758.3740634348,1049.69452857,36681.945436739,13.686394318
Cytophagaceae,53,105511.983235511,1990.79213651908,5234.16401326909,481.958921,35170.661078938,2.730645272
Polyangiaceae,17,104464.93202073,6144.99600121941,20046.1653391756,81.4024334,82688.097499709,4.66485267
Leuconostocaceae,18,102066.516415542,5670.36202308564,8472.51369395416,2181.99631178,34022.1721385002,12.842395602
Porphyromonadaceae,34,101151.83395174,2975.05393975706,7361.35649281379,782.49201372,33717.27798229,64.7487196
Planococcaceae,30,100141.553676362,3338.05178921207,6602.0647291204,1302.257884005,33380.51789548,74.74982644
Bacillaceae 2,11,99460.5004821,9041.86368019091,11834.7053444646,467.9563924,33153.50016198,47.2895832
Actinomycetaceae,38,93663.4699614,2464.82815687895,6779.31423677672,353.5334131,30168.156656431,17.15396278
Sinobacteraceae,8,87291.79753701,10911.4746921263,23530.6603147329,1492.255134545,67953.94242261,110.2418655
Neisseriaceae,43,86025.3920371681,2000.59051249228,5136.44999504083,532.898326,28675.130679386,48.8536128
Rhodocyclaceae,19,84974.422341866,4472.33801799295,7599.99439373491,773.04497175,25358.438316852,41.17390318
mitochondria,1,80473.991398287,80473.991398287,0,80473.991398287,80473.991398287,80473.991398287
Nocardiaceae,10,75711.604599346,7571.1604599346,8299.54909414661,3034.62951,22282.24295542,110.17461918
Aeromonadaceae,19,71906.9431897143,3784.57595735338,7213.33059706546,951.78742721,23968.9810622201,34.22220074
Dietziaceae,8,71682.551954497,8960.31899431213,10489.3168126114,2919.52341475,23894.183983559,50.30609982
Vibrionaceae,8,68655.55965817,8581.94495727125,9734.25071769922,3034.695814975,22885.18655544,34.9993079
Brucellaceae,17,66403.06342362,3906.06255433059,6446.5371117276,1067.52657255,23885.55632478,23.4316555
Hyphomicrobiaceae,46,64790.134255912,1408.48117947635,3348.8274889109,231.4940062,14613.396191221,13.90997201
Pasteurellaceae,20,63496.054184662,3174.8027092331,6335.20868980451,1003.522506475,27087.245121034,10.549744334
Fusobacteriaceae,17,63255.799665834,3720.92939210788,7035.89977428582,356.87056828,21085.266556522,4.091766916
Sphingobacteriaceae,19,62867.719284546,3308.82733076558,4817.85319014282,982.6578213,18315.392740818,27.7830549
Paraprevotellaceae,4,62247.502219414,15561.8755548535,10265.0283933667,20666.780510338,20749.167404018,164.77379472
Bifidobacteriaceae,16,61007.6268054373,3812.97667533983,7488.12888706292,188.52129119,20335.8756007891,39.81848718
Aerococcaceae,21,58719.312855854,2796.15775504067,4853.55975823694,1317.840146,19573.104285156,18.433867532
Bacillaceae 1,19,57936.624383968,3049.29602020884,4873.12474765222,1051.189939,19312.20812803,12.657711938
Carnobacteriaceae,16,52340.260692233,3271.26629326456,4411.00003397256,1914.43002815,17446.753564281,24.28439268
Chromatiaceae,16,51917.57945653,3244.84871603313,3903.15601622477,1870.7717387,16341.5778917,253.86850461
Dermabacteraceae,10,48604.448183109,4860.4448183109,6677.86488158937,1123.6869361815,16201.482727573,158.73068185
Deinococcaceae,14,47433.31455259,3388.09389661357,3436.65116789787,2342.386596915,10607.92990636,136.4208575
Cellulomonadaceae,11,46886.369338848,4262.39721262255,5622.84299084282,2284.555400047,15466.789779684,621.46175506
Phyllobacteriaceae,29,45052.137862767,1553.52199526783,2973.15927749243,327.43591418,15017.379287993,4.264245418
Mycobacteriaceae,20,42345.692200622,2117.2846100311,4186.0779058917,538.549072195,14115.2307335,16.973319352
Brevibacteriaceae,12,42001.289549933,3500.10746249442,4190.88200290322,1535.5267857,10984.838408303,172.471699723
Coriobacteriaceae,13,39992.19809747,3076.32293057462,2740.31773363923,2042.46920583,8261.19341756,92.49817086
Sporichthyaceae,15,34734.570925254,2315.6380616836,3152.25513919264,890.7669912,11578.190308218,347.2346884
Gordoniaceae,5,34030.866811714,6806.1733623428,4181.89931444403,4529.933467588,11343.622270238,2914.85888427
Erythrobacteraceae,28,33515.143444608,1196.969408736,2414.51698019646,343.63800104,11171.714481576,26.34844756
Pseudoalteromonadaceae,12,31139.027002488,2594.918916874,3402.5118724674,1060.1768637,8495.793102056,129.80370012
Exiguobacteraceae,9,29018.528686363,3224.28096515144,3795.56400914042,1417.43287903,9672.842895621,219.3607966
Streptomycetaceae,11,25230.53133682,2293.68466698364,2756.69502270702,767.7744776,8410.17711218,28.37552662
Methylocystaceae,11,25119.550473288,2283.59549757164,3451.52682868121,242.3295404,8373.183490616,81.54254596
Bacteroidaceae,15,22914.563535721,1527.63756904807,2558.45883829236,540.796748717,7638.187845627,70.91196414
Campylobacteraceae,15,21810.374287773,1454.0249525182,2016.76363240705,575.60755684,7270.12476234,76.35927248
Peptostreptococcaceae,13,21497.32555748,1653.64042749846,2419.17002689959,574.89899899,7165.7751857,76.29017938
Gemellaceae,21,21169.286008633,1008.06123850633,1760.37620246548,422.153627,7056.428669785,16.384006096
Clostridiaceae,11,20586.90047528,1871.53640684364,2254.25362790232,903.92952625,6862.3001584,56.62906788
0319-6G20,4,17655.88112545,4413.9702813625,7201.836217925,813.0521724,15216.72460825,813.0521724
Sphaerobacteraceae,14,17418.944158956,1244.21029706829,2002.12118118752,307.568468882,5806.314719785,14.036449522
Enterococcaceae,9,16438.44345508,1826.49371723111,1842.69647423376,1113.3288152,5479.48115176,350.5166824
Xanthobacteraceae,6,14225.876966535,2370.9794944225,1852.0242446756,2085.448563215,4741.958988445,571.061862815
Micromonosporaceae,15,13125.50250016,875.033500010667,1211.8693733453,449.5315068,4375.16749998,20.6364592
Aurantimonadaceae,6,12306.56430772,2051.09405128667,1119.47066910866,2026.44416602,4102.18810244,993.00962722
Gemmatimonadaceae,8,10858.49558579,1357.31194822375,1572.18307206782,508.0022635,3619.4985284,4.66485267
Beijerinckiaceae,8,10362.95561233,1295.36945154125,1072.05192454503,1342.39860703,3454.31853769,59.99881352
Thermaceae,10,9879.973579131,987.9973579131,1049.26692050343,587.5303698285,2870.273717827,189.24611842
Clostridiaceae 1,7,9856.329589984,1408.04708428343,1385.4154367321,907.8204576,3285.4431965,9.006928404
Rikenellaceae,6,9675.3168229,1612.55280381667,1426.78631660357,1505.7911447,3225.1056078,213.523318
Myxococcaceae,3,8979.6007077,2993.2002359,0,2993.2002359,2993.2002359,2993.2002359
Bartonellaceae,5,8944.509161772,1788.9018323544,1620.62460219663,2967.896096094,2981.503053992,13.606957796
Hydrogenophilaceae,4,8898.122604029,2224.53065100725,1068.10805622661,2615.5573208215,2966.040867943,700.967094443
Rubrobacteraceae,6,8787.24616104,1464.54102684,1228.57970054551,1228.41808065,2929.08205377,28.15015106
Erysipelotrichaceae,16,8705.604540942,544.100283808875,747.353935060514,323.807729395,2894.87090158,6.997279004
Sanguibacteraceae,3,8467.72798308,2822.57599436,5.56949485777108e-13,2822.57599436,2822.57599436,2822.57599436
Alcanivoracaceae,3,7486.23659448,2495.41219816,0,2495.41219816,2495.41219816,2495.41219816
ACK-M1,11,6798.92099777,618.08372707,591.810830641703,426.03911232,2023.30699956,99.39965014
Turicibacteraceae,3,6253.37659197,2084.45886399,0,2084.45886399,2084.45886399,2084.45886399
Rs-045,3,6211.369151514,2070.456383838,0,2070.456383838,2070.456383838,2070.456383838
Acidimicrobiaceae,7,6031.736174267,861.676596323857,813.962675596822,576.3966588,1848.578724709,59.08687224
Pseudonocardiaceae,13,5592.2330947,430.171776515385,503.573278514758,289.8837494,1864.07769829,20.28255212
S24-7,5,5438.1234984,1087.62469968,743.871193958713,1530.091737,1812.7078328,282.6160958
Rhodobiaceae,8,5347.55043386,668.4438042325,609.35162913341,474.9804133,1588.6340794,7.63163817
Mogibacteriaceae,7,5221.10918904,745.872741291429,530.301006966394,612.9071504,1740.36972965,110.06911158
Dermacoccaceae,3,5027.71693206,1675.90564402,0,1675.90564402,1675.90564402,1675.90564402
Methylophilaceae,5,4713.8516631,942.77033262,681.792852440625,1369.9319753,1571.2838877,201.3519124
Chthoniobacteraceae,5,4332.5423346,866.50846692,568.493588217897,1189.9600866,1444.1807782,254.2206916
Phormidiaceae,5,4173.132813612,834.6265627224,330.815122523722,808.1650984,1391.044271204,582.879172804
Cyclobacteriaceae,6,4146.5966916,691.0994486,41.6205158754759,691.0994486,729.0936076,653.1052896
Bdellovibrionaceae,8,4102.57638002,512.8220475025,435.972223723279,462.36599287,1041.38748176,16.71975726
Christensenellaceae,5,3917.093025,783.418605,321.859970800563,788.3166192,1305.697675,517.3810558
Xenococcaceae,5,3794.4752498,758.89504996,588.083283161793,1008.7885002,1264.82508325,47.4587189
Spirochaetaceae,6,3372.140951358,562.023491893,519.693634872364,543.7589144,1124.04698379,10.442797978
Gemmataceae,3,3205.9041594,1068.6347198,0,1068.6347198,1068.6347198,1068.6347198
F16,3,2878.7904762,959.5968254,0,959.5968254,959.5968254,959.5968254
Cardiobacteriaceae,5,2548.075927342,509.6151854684,361.86602477763,528.1115656,849.358642428,4.091766916
Nocardiopsaceae,5,2520.9332448,504.18664896,265.149683311152,607.2336498,840.3110816,233.0774318
Solibacteraceae,5,2128.4452223,425.68904446,204.305562942647,423.21681,666.21681,124.26493076
Rickettsiaceae,8,2117.079361483,264.634920185375,254.16008909173,164.30181576,705.693120521,15.905334081
Gaiellaceae,8,1912.27619641,239.03452455125,257.086275199424,152.49132893,637.4253988,20.54221266
Ellin6075,5,1808.91089934,361.782179868,236.232299041877,495.46205568,602.97029982,107.50824408
Paenibacillaceae,8,1517.97430007,189.74678750875,178.986036956973,140.052256145,505.99143336,20.82335146
Armatimonadaceae,3,1376.3056608,458.7685536,6.96186857221385e-14,458.7685536,458.7685536,458.7685536
Nitrosomonadaceae,3,1341.6532248,447.2177416,0,447.2177416,447.2177416,447.2177416
Eubacteriaceae,4,1212.29537984,303.07384496,188.902964428754,394.06086228,404.09845996,20.07519532
Blattabacteriaceae,3,1164.56960712,388.18986904,6.96186857221385e-14,388.18986904,388.18986904,388.18986904
BS11,5,1061.20033015,212.24006603,87.8879207910898,215.180155,353.73344339,138.55328838
Peptococcaceae 2,3,987.231618,329.077206,0,329.077206,329.077206,329.077206
Thermomonosporaceae,3,969.657024,323.219008,0,323.219008,323.219008,323.219008
Isosphaeraceae,8,963.15233457,120.39404182125,104.771453150743,67.1576994,321.0507782,41.22547828
Mycoplasmataceae,3,940.8524436,313.6174812,0,313.6174812,313.6174812,313.6174812
Planctomycetaceae,8,907.15692623,113.39461577875,91.7345506998852,92.7119632,302.38564205,32.5008896
Nostocaceae,3,904.7752038,301.5917346,0,301.5917346,301.5917346,301.5917346
Koribacteraceae,5,890.692441266,178.1384882532,127.054596785538,134.897480422,338.667755562,39.22972486
Verrucomicrobiaceae,4,792.61093444,198.15273361,85.769499879461,222.179619195,264.20364481,84.04805124
Solirubrobacteraceae,3,644.0895696,214.6965232,0,214.6965232,214.6965232,214.6965232
Alteromonadaceae,3,618.5780022,206.1926674,0,206.1926674,206.1926674,206.1926674
Flammeovirgaceae,3,618.0613674,206.0204558,0,206.0204558,206.0204558,206.0204558
Piscirickettsiaceae,3,616.6035978,205.5345326,0,205.5345326,205.5345326,205.5345326
kpj58rc,3,583.51347198,194.50449066,0,194.50449066,194.50449066,194.50449066
Ectothiorhodospiraceae,3,507.55866324,169.18622108,0,169.18622108,169.18622108,169.18622108
Desulfovibrionaceae,3,475.49059722,158.49686574,0,158.49686574,158.49686574,158.49686574
Alicyclobacillaceae,3,425.94747888,141.98249296,0,141.98249296,141.98249296,141.98249296
Hyphomonadaceae,3,383.9972721,127.9990907,0,127.9990907,127.9990907,127.9990907
Oceanospirillaceae,3,349.082009028,116.360669676,0,116.360669676,116.360669676,116.360669676
Odoribacteraceae,3,271.82507556,90.60835852,1.74046714305346e-14,90.60835852,90.60835852,90.60835852
Listeriaceae,3,252.64840392,84.21613464,0,84.21613464,84.21613464,84.21613464
Helicobacteraceae,3,245.1311652,81.7103884,0,81.7103884,81.7103884,81.7103884
Iamiaceae,3,235.2280182,78.4093394,0,78.4093394,78.4093394,78.4093394
Saprospiraceae,3,171.27364212,57.09121404,8.70233571526732e-15,57.09121404,57.09121404,57.09121404
Caldilineaceae,3,163.53304272,54.51101424,0,54.51101424,54.51101424,54.51101424
Opitutaceae,5,152.456053408,30.4912106816,19.0451453824934,22.13253734,50.818684467,10.277007594
Conexibacteraceae,3,131.76803718,43.92267906,0,43.92267906,43.92267906,43.92267906
0319-6A21,5,124.0721954,24.81443908,11.1262176755923,26.86505514,41.357398464,14.492343328
Syntrophobacteraceae,3,105.23979762,35.07993254,0,35.07993254,35.07993254,35.07993254
Anaerolinaceae,3,96.39521562,32.13173854,0,32.13173854,32.13173854,32.13173854
Fimbriimonadaceae,3,37.526628996,12.508876332,0,12.508876332,12.508876332,12.508876332
Ellin517,3,20.991837012,6.997279004,0,6.997279004,6.997279004,6.997279004
